plz,city
1000,Lausanne
1001,Lausanne
1002,Lausanne
1003,Lausanne
1004,Lausanne
1005,Lausanne
1006,Lausanne
1007,Lausanne
1008,Prilly
1009,Pully
1010,Lausanne
1011,Lausanne
1012,Lausanne
1014,Lausanne Adm cant
1015,Lausanne
1018,Lausanne
1020,Renens VD
1020,Renens VD 1
1020,Renens VD 2
1022,Chavannes-Renens
1023,Crissier
1024,Ecublens VD
1025,St-Sulpice VD
1026,Echandens-Denges
1027,Lonay
1028,PrÇverenges
1030,Bussigny
1032,Romanel-s-Lausanne
1033,Cheseaux-Lausanne
1037,Etagniäres
1038,Bercher
1040,Echallens
1040,St-BarthÇlemy VD
1377,Oulens-Echallens
1042,Bettens
1040,Villars-le-Terroir
1417,Epautheyres
1041,Dommartin
1063,Peyres-Possens
1063,Boulens
1041,Poliez-le-Grand
1041,Poliez-Pittet
1041,Bottens
1053,Bretigny-Morrens
1034,Boussens
1035,Bournens
1036,Sullens
1042,Assens
1043,Sugnens
1044,Fey
1045,Ogens
1407,Bioley-Magnoux
1042,Bioley-Orjulaz
1052,Mont-sur-Lausanne
1053,Cugy VD
1054,Morrens VD
1055,Froideville
1410,Thierrens
1066,Epalinges
1073,Savigny
1083,MÇziäres VD
1092,Belmont-Lausanne
1093,La Conversion
1094,Paudex
1095,Lutry
1096,Cully
1097,Riex
1098,Epesses
1058,Villars-Tiercelin
1059,Peney-le-Jorat
1061,Villars-Mendraz
1062,Sottens
1063,Chapelle-s-Moudon
1410,St-Cierges
1073,Mollie-Margot
1080,Les Cullayes
1081,Montpreveyres
1082,Corcelles-le-Jorat
1088,Ropraz
1084,Carrouge VD
1085,Vulliens
1509,Vucherens
1510,Syens
1076,Ferlens VD
1077,Servion
1078,Essertes
1673,Auboranges
1110,Morges
1110,Morges 1
1110,Morges 2
1112,Echichens
1167,Lussy-sur-Morges
1132,Lully VD
1131,Tolochenaz
1125,Monnaz
1126,Vaux-sur-Morges
1127,Clarmont
1128,Reverolle
1113,St-Saphorin-Morges
1114,Colombier VD
1115,Vullierens
1116,Cottens VD
1117,Grancy
1304,Senarclens
1121,Bremblens
1122,Romanel-sur-Morges
1123,Aclens
1124,Gollion
1134,Vufflens-ChÉteau
1135,Denens
1136,Bussy-Chardonney
1169,Yens
1168,Villars-sous-Yens
1144,Ballens
1149,Berolle
1146,Mollens VD
1147,Montricher
1142,Pampigny
1141,SÇvery
1143,Apples
1145,Biäre
1148,L'Isle
1162,St-Prex
1163,Etoy
1164,Buchillon
1165,Allaman
1166,Perroy
1170,Aubonne
1172,Bougy-Villars
1173,FÇchy
1174,Montherod
1175,Lavigny
1176,St-Livres
1180,Rolle
1182,Gilly
1183,Bursins
1184,Vinzel
1184,Luins
1185,Mont-sur-Rolle
1186,Essertines-Rolle
1187,St-Oyens
1189,Saubraz
1188,Gimel
1195,Dully-Bursinel
1196,Gland
1197,Prangins
1200,Genäve
1200,Genäve 1
1200,Genäve 2 DÇpìt
1200,Genäve 3
1200,Genäve 4
1200,Genäve 2 Transit
1200,Genäve 6
1200,Genäve 7
1200,Genäve 8
1200,Genäve 11
1200,Genäve 12
1200,Genäve 13
1200,Genäve 17
1200,Genäve 19
1200,Genäve 20
1200,Genäve 21
1200,Genäve 26
1200,Genäve 28 Balexert
1200,Genäve (CLT)
1200,Genäve 2 Dist
1200,Genäve Dist Ba
1201,Genäve
1202,Genäve
1203,Genäve
1204,Genäve
1205,Genäve
1206,Genäve
1207,Genäve
1208,Genäve
1209,Genäve
1211,Genäve 1
1211,Genäve 2
1211,Genäve 3
1211,Genäve 4
1211,Genäve 6
1211,Genäve 7
1211,Genäve 8
1211,Genäve 10
1211,Genäve 11
1211,Genäve 12
1211,Genäve 13
1211,Genäve 17
1211,Genäve 19
1211,Genäve 20
1211,Genäve 21
1211,Genäve 22
1211,Genäve 23
1211,Genäve 26
1211,Genäve 27
1211,Genäve 28
